Name,desc,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
kml_75,EXPO MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.962123376964,1.33486331394002
kml_76,MATTAR MRT STATION,2,MACPHERSON,GEYLANG,CENTRAL REGION,103.883748387367,1.32646352258365
kml_77,MACPHERSON MRT STATION,2,MACPHERSON,GEYLANG,CENTRAL REGION,103.888454834502,1.32514545854461
kml_78,FORT CANNING MRT STATION,2,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,103.844170034161,1.29240609583253
kml_79,UBI MRT STATION,3,KAMPONG UBI,GEYLANG,CENTRAL REGION,103.899876690848,1.32995082837169
kml_80,EXPO MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.963049007063,1.33501932047772
kml_81,UPPER CHANGI MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.961617273071,1.34199266736069
kml_82,UPPER CHANGI MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.961476268552,1.34103767885161
kml_83,EXPO MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.961836795228,1.33548282197647
kml_84,TAMPINES EAST MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.955717438102,1.35697019383715
kml_85,EXPO MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.962865746056,1.33471194816015
kml_86,,2,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,103.847129742805,1.28940556638775
kml_87,,3,BOAT QUAY,SINGAPORE RIVER,CENTRAL REGION,103.846064544016,1.28689878811719
kml_88,,2,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,103.847032643434,1.28900018275596
kml_89,,1,PEARL'S HILL,OUTRAM,CENTRAL REGION,103.842812853988,1.28467489754109
kml_90,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.744595143313,1.38497966463007
kml_91,,4,CHINA SQUARE,OUTRAM,CENTRAL REGION,103.844428119144,1.28504408021216
kml_92,,6,MEI CHIN,QUEENSTOWN,CENTRAL REGION,103.806182776756,1.29424726228763
kml_93,,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.816994458984,1.28937070497306
kml_94,,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.817249373152,1.2894858756967
kml_95,,3,COMMONWEALTH,QUEENSTOWN,CENTRAL REGION,103.798057882004,1.30275277669117
kml_96,,1,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,103.820508811491,1.26515468248934
kml_97,,2,BOULEVARD,ORCHARD,CENTRAL REGION,103.832039800972,1.30456047400256
kml_98,,2,BOULEVARD,ORCHARD,CENTRAL REGION,103.832524259173,1.30489217805663
kml_99,,3,NEWTON CIRCUS,NEWTON,CENTRAL REGION,103.83788132522,1.31259779649893
kml_100,,3,NEWTON CIRCUS,NEWTON,CENTRAL REGION,103.838219069657,1.3120754624657
kml_101,,2,BOULEVARD,ORCHARD,CENTRAL REGION,103.832619611955,1.30435439891401
kml_102,,6,LAVENDER,KALLANG,CENTRAL REGION,103.863043062661,1.30716946075394
kml_103,,6,LAVENDER,KALLANG,CENTRAL REGION,103.862650317,1.30761853938573
kml_104,,3,BOON KENG,KALLANG,CENTRAL REGION,103.871587075682,1.31178177025519
kml_105,,3,BOON KENG,KALLANG,CENTRAL REGION,103.871730564438,1.31154048327475
kml_106,,4,ALJUNIED,GEYLANG,CENTRAL REGION,103.882472887872,1.31648793060323
kml_107,,4,ALJUNIED,GEYLANG,CENTRAL REGION,103.882496650709,1.31623848506507
kml_108,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.848985089271,1.30656355543099
kml_109,,6,LAVENDER,KALLANG,CENTRAL REGION,103.854763767306,1.31354396582272
kml_110,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.852650970554,1.31188353718468
kml_111,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.853199391349,1.31142204650925
kml_112,,3,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION,103.860673611095,1.29171166140689
kml_113,,2,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION,103.847723804116,1.33237644220252
kml_114,,4,TAMAN JURONG,JURONG WEST,WEST REGION,103.720448529312,1.34398334128965
kml_115,,4,LAKESIDE,JURONG EAST,WEST REGION,103.73339313588,1.34156582672181
kml_116,,4,LAKESIDE,JURONG EAST,WEST REGION,103.732741825689,1.34198208928493
kml_117,,4,LAKESIDE,JURONG EAST,WEST REGION,103.732220154991,1.34243874328555
kml_118,,5,JURONG GATEWAY,JURONG EAST,WEST REGION,103.742762081339,1.33274868498806
kml_119,,5,JURONG GATEWAY,JURONG EAST,WEST REGION,103.741759898193,1.33398960419187
kml_120,,5,JURONG GATEWAY,JURONG EAST,WEST REGION,103.742640162857,1.33252623524168
kml_121,,6,YEW TEE,CHOA CHU KANG,WEST REGION,103.747329879801,1.39806776778826
