school_name,address,postal_code,dgp_code,zone_code,lon,lat
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21 Singapore,529393,TAMPINES,EAST,103.9507462,1.3514701
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51 Singapore,649332,JURONG WEST,WEST,103.7215779,1.347595
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE Singapore,158901,BUKIT MERAH,SOUTH,103.8153327,1.2858277
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 Singapore,529176,TAMPINES,EAST,103.948893,1.357339
HUAMIN PRIMARY SCHOOL,530 YISHUN RING ROAD Singapore,768680,YISHUN,NORTH,103.8447228,1.4278803
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21 Singapore,768611,YISHUN,NORTH,103.8378387,1.4334989
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3 Singapore,659163,BUKIT BATOK,WEST,103.74102,1.349481
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 Singapore,659441,BUKIT BATOK,WEST,103.7485279,1.359
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2 Singapore,469317,BEDOK,EAST,103.9380502,1.3237397
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52 Singapore,659243,BUKIT BATOK,WEST,103.754202,1.354143
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4 Singapore,556095,SERANGOON,SOUTH,103.869558,1.359895
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD Singapore,768687,YISHUN,NORTH,103.8302303,1.4174051
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6 Singapore,659762,BUKIT BATOK,WEST,103.7562455,1.3454147
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3 Singapore,529896,TAMPINES,EAST,103.9521967,1.3401906
ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD Singapore,679002,BUKIT PANJANG,WEST,103.769301,1.37957
SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL Singapore,689762,CHOA CHU KANG,WEST,103.747145,1.381324
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21 Singapore,518968,PASIR RIS,EAST,103.9628003,1.3722117
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2 Singapore,689905,CHOA CHU KANG,WEST,103.7417229,1.378056
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD Singapore,677744,BUKIT PANJANG,WEST,103.7679301,1.3856591
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD Singapore,217567,KALLANG,SOUTH,103.8508273,1.3122933
BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS Singapore,598112,BUKIT TIMAH,WEST,103.766768,1.337385
LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK Singapore,618310,JURONG WEST,WEST,103.718147,1.3384626
BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD Singapore,679944,BUKIT PANJANG,WEST,103.77377,1.384235
INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17 Singapore,737888,WOODLANDS,NORTH,103.790631,1.428957
